id,words,profondeur,style,voix,mean,pairwise_wins
original,1124,82,87,87,85.33,3
p1_langue,1123,85,87,87,86.33,3
p2a_soustexte,1123,85,87,87,86.33,3
p3a_rythme_flaubert,1116,82,82,85,83,3
