id,words,profondeur,style,voix,mean,granularity_ok,pairwise_wins
original,1124,82,87,87,85.33,false,5
p1_langue,1123,85,87,87,86.33,false,5
p2_soustexte,546,78,78,72,76,false,1
p3_rythme_flaubert,529,78,78,78,78,false,1
