chapter;kind;action;before;after
11;"UNTERMINATED_BLOCK";"REMOVE_TRUNCATED_FRAGMENT";"";"(retiré — tracé)"
20;"NEAR_DUP_RESUME";"REMOVE_ORPHAN_SENTENCE";"Pour le bien de tout le monde.";"(orpheline retirée — la version du bloc suivant porte la suite)"
