canonical_author,n_works,cells,titles
franck_thilliez,2,D_SOURCE_REAL_FR,1991 Les Enquetes De Sharko Tome 1 / A Retardement
gerald_rice,1,C_FORMULAIC_EN,The Ghost Toucher
gilles_legardinier,2,D_SOURCE_REAL_FR,Demain Jarrete / Jai Encore Menti
gordon_nicholas,1,C_FORMULAIC_EN,Hallowed Be Thy Gore
grace_hannah,1,C_FORMULAIC_EN,Icebreakers
grillet,1,MASTER_NATIVE_FR,Lannee Derniere A Marienbad
grimes_martha,1,C_FORMULAIC_EN,The Train Now Departing
grump_living,1,C_FORMULAIC_EN,Living Next To The Grump
handberg_ron,1,C_FORMULAIC_EN,Cry Vengeance
hannah_ryder,1,C_FORMULAIC_EN,Secret Twins For My Brothers Best Friends
hardy,2,MASTER_NATIVE_EN,Far From The Madding Crowd / Jude The Obscure
haw_penny,1,C_FORMULAIC_EN,The Woman And Her Stars
hawthorne,1,MASTER_NATIVE_EN,Hawthorne Scarlet
hemingway,2,MASTER_NATIVE_EN,Dateline Toronto / Men Without Women
hugo,2,MASTER_NATIVE_FR,La Legende Des Siecles / Le Roi Samuse
james,2,MASTER_NATIVE_EN,The Ambassadors / The Turn Of The Screw
malraux,2,MASTER_NATIVE_FR,La Voie Royale / La Condition Humaine
merimee,2,MASTER_NATIVE_FR,Merimee Carmen / Merimee Mateo
modiano,2,MASTER_NATIVE_FR,Encre Sympathique / La Ronde De Nuit
perec,1,MASTER_NATIVE_FR,La Vie Mode Demploi
proust,2,MASTER_NATIVE_FR,Du Cote De Chez Swann / Proust Swann
quignard,2,MASTER_NATIVE_FR,Le Salon Du Wurtemberg / Terrasse A Rome
sarraute,2,MASTER_NATIVE_FR,Enfance / Le Planetarium
