name,scene,kind,words,sha16,hist_ECC,now_ECC_mean,now_ECC_std,delta,abs_delta,now_t14d_mean,k,verdict
A_baseline,menace,menace,450,c09fc907a16d03ce,95.17,97.66,0,2.49,2.49,93.74,3,stable
B_exemplar,menace,menace,406,d980691f426eed97,93.47,89.34,0,-4.13,4.13,90.07,3,biased_shift
C_sysprompt,menace,menace,369,2fa0b1fd3cf232fe,91.7,92.77,0,1.07,1.07,88.26,3,stable
D_antimono,menace,menace,458,45ad3652f41bc007,83.34,93.93,0,10.59,10.59,91.79,3,biased_shift
E_skeleton,menace,menace,424,1c6cf5739b421825,87.61,93.62,0,6.01,6.01,93.63,3,biased_shift
F_mask,menace,menace,402,3ba232e9ff6fb46d,94.4,92.28,0,-2.12,2.12,93.39,3,stable
C_sysprompt,revelation,revelation,476,f32d7e22563e0105,92.77,89.26,0,-3.51,3.51,85.17,3,biased_shift
