name,scene,words,hist_RCI,now_probe,packet_max,dRCI_total,delta_packet,residual_drift,rhythm,euphony,signature_probe,hook_probe,w_rhythm,w_sig,w_hook,w_euph
A_baseline,menace,450,80.35,63.43,81.16,-16.93,17.73,-0.8,59.4,67.5,60,85,0.725,1,0.2,0.5
B_exemplar,menace,406,79.77,63.81,81.7,-15.96,17.89,-1.93,51.9,79.7,60,85,0.703,1,0.2,0.5
C_sysprompt,menace,369,90.54,72.76,90.8,-17.78,18.03,-0.26,77.8,86.5,60,85,0.684,1,0.2,0.5
D_antimono,menace,458,87.07,69.14,86.85,-17.93,17.7,0.23,74.9,72.7,60,85,0.729,1,0.2,0.5
E_skeleton,menace,424,83.88,66.71,84.53,-17.17,17.83,-0.66,66.4,73.2,60,85,0.712,1,0.2,0.5
F_mask,menace,402,87.7,70.28,88.19,-17.42,17.91,-0.49,70.7,84.4,60,85,0.701,1,0.2,0.5
C_sysprompt,revelation,476,83.28,66.5,84.14,-16.78,17.64,-0.86,69.4,67.8,60,85,0.738,1,0.2,0.5
