fichier,titre,auteur,langue,genre,groupe,inclus,raison_exclusion,dossier
La_Quarantaine_-_JMG_Le_Clezio.pdf,La Quarantaine,JMG Le Clezio,FR,literary,FR-B,OUI,,racine
Courir_French_Edition_-_Jean_echenoz.epub,Courir,Jean echenoz,FR,literary,FR-B,OUI,,racine
La_Nausee_-_Jean-Paul_Sartre.pdf,La Nausee,Jean-Paul Sartre,FR,literary,FR-B,OUI,,racine
Du_cote_de_chez_Swann_-_Marcel_Proust.pdf,Du cote de chez Swann,Marcel Proust,FR,literary,FR-B,OUI,,racine
LAmant_-_Marguerite_Duras.pdf,LAmant,Marguerite Duras,FR,literary,FR-B,OUI,,racine
Alexis_ou_le_Traite_du_vain_combat__Le_Coup_de_grace_-_Marguerite_Yourcenar.pdf,Alexis ou le Traite du vain combat Le Coup de grace,Marguerite Yourcenar,FR,literary,FR-B,OUI,,racine
Anna_soror_-_Marguerite_Yourcenar.pdf,Anna soror,Marguerite Yourcenar,FR,literary,FR-B,OUI,,racine
LOEuvre_au_noir_-_Marguerite_Yourcenar.epub,LOEuvre au noir,Marguerite Yourcenar,FR,literary,FR-B,OUI,,racine
Quoi__LEternite_-_Marguerite_Yourcenar.epub,Quoi LEternite,Marguerite Yourcenar,FR,literary,FR-B,OUI,,racine
Trois_Femmes_puissantes_French_Edition_-_Marie_NDiaye.epub,Trois Femmes puissantes,Marie NDiaye,FR,literary,FR-B,OUI,,racine
La_Modification_-_Michel_Butor.pdf,La Modification,Michel Butor,FR,literary,FR-B,OUI,,racine
LInsoutenable_Legerete_de_letre_French_Edition_-_Milan_Kundera.pdf,LInsoutenable Legerete de letre,Milan Kundera,FR,literary,FR-B,OUI,,racine
Enfance_-_Nathalie_Sarraute.pdf,Enfance,Nathalie Sarraute,FR,literary,FR-B,OUI,,racine
Terrasse_a_Rome_French_Edition_-_Pascal_Quignard.pdf,Terrasse a Rome,Pascal Quignard,FR,literary,FR-B,OUI,,racine
Tous_les_matins_du_monde_-_Pascal_Quignard.pdf,Tous les matins du monde,Pascal Quignard,FR,literary,FR-B,OUI,,racine
Texaco_-_Patrick_Chamoiseau.epub,Texaco,Patrick Chamoiseau,FR,literary,FR-B,OUI,,racine
Encre_sympathique_French_Edition_-_Patrick_Modiano.pdf,Encre sympathique,Patrick Modiano,FR,literary,FR-B,OUI,,racine
La_Ronde_de_nuit_-_Patrick_Modiano.pdf,La Ronde de nuit,Patrick Modiano,FR,literary,FR-B,OUI,,racine
Rue_des_Boutiques_Obscures_-_Patrick_Modiano.pdf,Rue des Boutiques Obscures,Patrick Modiano,FR,literary,FR-B,OUI,,racine
La_danseuse_-_Patrick_Modiano_FR.pdf,La danseuse,Patrick Modiano FR,FR,literary,FR-B,OUI,,racine
Absence_-_Peter_Handke.pdf,Absence,Peter Handke,FR,literary,FR-B,OUI,,racine
Le_malheur_indifferent_-_Peter_Handke.pdf,Le malheur indifferent,Peter Handke,FR,literary,FR-B,OUI,,racine
Molloy_-_Samuel_Beckett.pdf,Molloy,Samuel Beckett,FR,literary,FR-B,OUI,,racine
La_Maison_de_Rendez-Vous_and_Djinn_-_Alain_Robbe-Grillet.epub,La Maison de Rendez,Vous and Djinn - Alain Robbe-Grillet,FR,literary,FR-B,OUI,,racine
Monts_Mers_et_Geants_French_Edition_-_alfred_doblin.epub,Monts Mers et Geants,alfred doblin,FR,literary,FR-B,OUI,,racine
la_place_French_Edition_-_annie_ernaux.pdf,la place,annie ernaux,FR,literary,FR-B,OUI,,racine
Le_Capitaine_Burle__Le_Capitaine_Burle_-_Comment_on_meurt_-_Pour_une_nuit_damour_French_Edition_-_Zola_Emile.pdf,Le Capitaine Burle Le Capitaine Burle,Comment on meurt - Pour une nuit damour French Edition - Zola Emile,FR,upmarket,FR-C,OUI,,racine
Au_Bonheur_Des_Dames_-_Emile_Zola.epub,Au Bonheur Des Dames,Emile Zola,FR,upmarket,FR-C,OUI,,racine
LArgent_-_Emile_Zola.epub,LArgent,Emile Zola,FR,upmarket,FR-C,OUI,,racine
Les_soirees_de_Medan_-_Emile_Zola.epub,Les soirees de Medan,Emile Zola,FR,upmarket,FR-C,OUI,,racine
Loeuvre_-_Emile_Zola.epub,Loeuvre,Emile Zola,FR,upmarket,FR-C,OUI,,racine
Une_page_damour_-_Emile_Zola.epub,Une page damour,Emile Zola,FR,upmarket,FR-C,OUI,,racine
Crimes_et_chatiments_French_Edition_-_Fiodor_Dostoievski.epub,Crimes et chatiments,Fiodor Dostoievski,FR,upmarket,FR-C,OUI,,racine
Les_nuits_blanches_French_Edition_-_Fiodor_Dostoievski.epub,Les nuits blanches,Fiodor Dostoievski,FR,upmarket,FR-C,OUI,,racine
If_on_a_winters_night_a_traveler_-_Italo_Calvino.pdf,If on a winters night a traveler,Italo Calvino,FR,upmarket,FR-C,OUI,,racine
La_Chambre_de_Giovanni_French_Edition_-_James_Baldwin.pdf,La Chambre de Giovanni,James Baldwin,FR,upmarket,FR-C,OUI,,racine
Il_faut_qu_on_parle_de_Kevin_French_Edition_-_Lionel_Shriver.epub,Il faut qu on parle de Kevin,Lionel Shriver,FR,upmarket,FR-C,OUI,,racine
Antigone_Reine_French_Edition_-_Lolita_Pille.epub,Antigone Reine,Lolita Pille,FR,upmarket,FR-C,OUI,,racine
La_Huitieme_Porte_French_Edition_-_Pierre_bottero.epub,La Huitieme Porte,Pierre bottero,FR,fantasy-YA,FR-C,OUI,,racine
Le_puit_dargent_French_Edition_-_Robin_hobb.epub,Le puit dargent,Robin hobb,FR,upmarket,FR-C,OUI,,racine
Les_Trois_Villes_-_Rome_French_Edition_-_Zola_Emile.epub,Les Trois Villes,Rome French Edition - Zola Emile,FR,upmarket,FR-C,OUI,,racine
Les_Mysteres_de_Marseille_French_Edition_-_Zola_Emile.epub,Les Mysteres de Marseille,Zola Emile,FR,upmarket,FR-C,OUI,,racine
De_sable_et_decailles_French_Edition_-_Alix_Keybell.epub,De sable et decailles,Alix Keybell,FR,fiction-other,FR-UNCLASSIFIED,OUI,,racine
