dir,files,tsFiles,testFiles,jsonFiles,mdFiles,bytes,maxDepth,firstCommit,lastCommit,commits,isWorkspaceTop,hasTsconfig,hasPackageJson,filesWithMarkers,markerHits,provisionalClass,adjudicated
scripts,150,21,0,9,18,1597453,3,2025-12-28,2026-05-31,71,false,false,false,22,14d|canon|dedale|dédale|emotion|forge|generate|judge|k2|memory|oracle|pipeline|r6|rewrite|runner|scorer|scribe|style|truth|weave|weavellm,ENGINE_BEARING?,no
sessions,126,0,0,29,96,1292964,1,2026-01-24,2026-04-02,117,false,false,false,77,14d|canon|emotion|forge|generate|judge|k2|memory|oracle|pipeline|rewrite|runner|scorer|scribe|style|truth|weave,DATA_OR_DOC?,no
sprint28_5,62,34,16,3,9,1072816,3,2026-01-09,2026-01-17,2,false,false,false,28,emotion|generate|memory|pipeline|runner|truth,SNAPSHOT?,no
src,202,163,11,19,3,1415003140,3,2026-01-01,2026-03-29,34,false,false,false,13,canon|emotion|generate|oracle|pipeline|runner|scribe|style,LEGACY_ANCESTOR,YES
src-tauri,9,0,0,0,0,100711,3,2026-01-01,2026-01-01,1,false,false,false,0,,DATA_OR_DOC?,no
templates,11,0,0,7,2,11230,1,2026-01-16,2026-02-01,4,false,false,false,0,,DATA_OR_DOC?,no
test,14,0,13,0,0,99291,1,2026-01-16,2026-01-31,16,false,false,false,3,generate|pipeline|runner,ENGINE_BEARING?,no
tests,189,9,163,10,1,1805183,4,2026-01-01,2026-02-05,45,false,false,false,101,canon|emotion|forge|generate|judge|memory|oracle|pipeline|rewrite|runner|scribe|style|truth,ENGINE_BEARING?,no
tools,75,17,8,14,18,322720,5,2026-01-02,2026-05-26,31,false,false,false,20,canon|emotion|forge|generate|oracle|pipeline|runner|style,ENGINE_BEARING?,no
waivers,3,0,0,2,0,1853,1,2026-02-01,2026-02-01,1,false,false,false,0,,DATA_OR_DOC?,no
