family,lang,book,size,words,necessity,metaphor_novelty,anti_cliche,show_dont_tell,authenticity,rhythm,euphony,sii,aai,rci
badprose,fr,cinquante_nuances_de_grey_french_edition_el_james,1500,1500,88,69,100,100,54,62.75460315415798,56.973626373626374,85.7,81.6,62.3
badprose,fr,cinquante_nuances_de_grey_french_edition_el_james,3000,3000,88,68,100,100,54,58.705241914468026,57.48661417322835,85.3,81.6,60.9
badprose,fr,cinquante_nuances_de_grey_french_edition_el_james,-1,6000,82,75,100,100,47,59.82919519294042,56.75187969924812,85.7,78.8,61.2
badprose,fr,le_pacte_de_sang_french_edition_laura_s_wild,600,600,88,71,100,100,79,78.19722835631478,85.96428571428572,86.3,91.6,73
badprose,fr,le_pacte_de_sang_french_edition_laura_s_wild,1500,1500,88,68,100,100,76,69.25282772004346,78.79338842975207,85.3,90.4,68.7
badprose,fr,le_pacte_de_sang_french_edition_laura_s_wild,3000,3000,88,79,100,100,77,67.01775584644665,65.8962962962963,89,90.8,65.5
badprose,fr,le_pacte_de_sang_french_edition_laura_s_wild,-1,6000,82,75.6,100,100,75,63.70208418453665,65.98157894736842,85.9,90,64.3
badprose,fr,grossesse_mafia_french_edition_melanie_rain,600,600,92,43.2,100,100,78,74.45788318466359,91.22857142857143,78.4,91.2,72.9
badprose,fr,grossesse_mafia_french_edition_melanie_rain,1500,1500,92,76,100,100,84,65.80417227456257,63.38320610687023,89.3,93.6,64.6
badprose,fr,grossesse_mafia_french_edition_melanie_rain,3000,3000,92,79,100,100,76,63.71005366239122,55.3632,90.3,90.4,62.4
badprose,fr,grossesse_mafia_french_edition_melanie_rain,-1,6000,94,78,100,100,80,67.7052438540984,58.34255874673629,90.7,92,64.4
badprose,en,el_james_fifty_shades_of_grey,600,600,92,70,100,100,66,75.39450544421597,91.14754098360655,87.3,86.4,73.2
badprose,en,el_james_fifty_shades_of_grey,1500,1500,92,73,100,100,74,73.52989175819037,63.21095890410959,88.3,89.6,67.3
badprose,en,el_james_fifty_shades_of_grey,3000,3000,92,74,100,100,74,68.9443570351027,52.0375,88.7,89.6,63.7
badprose,en,el_james_fifty_shades_of_grey,-1,6000,82,72,100,100,52,64.67846417414468,53.16969696969697,84.7,80.8,62.3
badprose,en,gently_yours_gently_series_book_1_sweetblunch,600,600,92,67,100,100,74,75.87439873487345,73.53488372093022,86.3,89.6,69.8
badprose,en,gently_yours_gently_series_book_1_sweetblunch,1500,1500,92,69,100,100,78,70.34000552481164,57.10243902439025,87,91.2,65
badprose,en,gently_yours_gently_series_book_1_sweetblunch,3000,3000,92,72,100,100,75,65.74496308359758,52.731034482758616,88,90,62.6
badprose,en,gently_yours_gently_series_book_1_sweetblunch,-1,6000,92,71,100,100,78,70.67995858429757,51.63488372093023,87.7,91.2,64.3
badprose,en,claimed_by_the_mountain_kings_alisson_bento,600,600,94,79.6,100,100,78,75.47262411118518,70,91.2,91.2,69
badprose,en,claimed_by_the_mountain_kings_alisson_bento,1500,1500,94,78,100,100,81,81.40873038390507,53.12842105263158,90.7,92.4,68.3
badprose,en,claimed_by_the_mountain_kings_alisson_bento,3000,3000,94,80.2,100,100,81,71.52174460124665,48.56907216494845,91.4,92.4,64
badprose,en,claimed_by_the_mountain_kings_alisson_bento,-1,6000,92,77,100,100,57,64.4917947015962,46.25915492957746,89.7,82.8,61
